filename,x,y,w,h,label
synth_BJJ PR 1.1_0.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_1.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_2.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_3.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_4.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_5.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_6.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_7.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_8.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_9.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_10.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_11.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_12.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_13.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_14.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_15.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_16.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_17.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_18.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_19.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 2.1_0.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_1.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_2.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_3.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_4.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_5.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_6.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_7.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_8.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_9.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_10.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_11.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_12.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_13.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_14.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_15.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_16.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_17.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_18.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_19.jpg,0,0,1536,2048,pr_card
synth_PR letter 2_0.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_1.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_2.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_3.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_4.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_5.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_6.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_7.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_8.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_9.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_10.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_11.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_12.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_13.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_14.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_15.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_16.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_17.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_18.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_19.jpg,0,0,1218,2022,pr_card
synth_SFA PR 1.1 (1)_0.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_1.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_2.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_3.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_4.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_5.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_6.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_7.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_8.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_9.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_10.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_11.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_12.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_13.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_14.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_15.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_16.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_17.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_18.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1 (1)_19.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_0.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_1.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_2.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_3.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_4.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_5.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_6.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_7.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_8.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_9.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_10.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_11.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_12.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_13.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_14.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_15.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_16.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_17.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_18.jpg,0,0,2268,4032,pr_card
synth_SFA PR 1.1_19.jpg,0,0,2268,4032,pr_card
synth_SFA PR 2.1_0.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_1.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_2.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_3.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_4.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_5.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_6.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_7.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_8.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_9.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_10.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_11.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_12.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_13.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_14.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_15.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_16.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_17.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_18.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2.1_19.jpg,0,0,4624,2084,pr_card
synth_SFA PR 2_0.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_1.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_2.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_3.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_4.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_5.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_6.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_7.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_8.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_9.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_10.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_11.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_12.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_13.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_14.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_15.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_16.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_17.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_18.jpg,0,0,656,1008,pr_card
synth_SFA PR 2_19.jpg,0,0,656,1008,pr_card
synth_SFA PR 3.1_0.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_1.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_2.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_3.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_4.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_5.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_6.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_7.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_8.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_9.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_10.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_11.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_12.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_13.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_14.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_15.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_16.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_17.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_18.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3.1_19.jpg,0,0,4032,3024,pr_card
synth_SFA PR 3_0.jpg,0,0,622,984,pr_card
synth_SFA PR 3_1.jpg,0,0,622,984,pr_card
synth_SFA PR 3_2.jpg,0,0,622,984,pr_card
synth_SFA PR 3_3.jpg,0,0,622,984,pr_card
synth_SFA PR 3_4.jpg,0,0,622,984,pr_card
synth_SFA PR 3_5.jpg,0,0,622,984,pr_card
synth_SFA PR 3_6.jpg,0,0,622,984,pr_card
synth_SFA PR 3_7.jpg,0,0,622,984,pr_card
synth_SFA PR 3_8.jpg,0,0,622,984,pr_card
synth_SFA PR 3_9.jpg,0,0,622,984,pr_card
synth_SFA PR 3_10.jpg,0,0,622,984,pr_card
synth_SFA PR 3_11.jpg,0,0,622,984,pr_card
synth_SFA PR 3_12.jpg,0,0,622,984,pr_card
synth_SFA PR 3_13.jpg,0,0,622,984,pr_card
synth_SFA PR 3_14.jpg,0,0,622,984,pr_card
synth_SFA PR 3_15.jpg,0,0,622,984,pr_card
synth_SFA PR 3_16.jpg,0,0,622,984,pr_card
synth_SFA PR 3_17.jpg,0,0,622,984,pr_card
synth_SFA PR 3_18.jpg,0,0,622,984,pr_card
synth_SFA PR 3_19.jpg,0,0,622,984,pr_card
synth_SFA PR 4.1_0.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_1.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_2.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_3.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_4.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_5.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_6.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_7.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_8.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_9.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_10.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_11.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_12.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_13.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_14.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_15.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_16.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_17.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_18.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4.1_19.jpg,0,0,2771,1841,pr_card
synth_SFA PR 4_0.jpg,0,0,610,882,pr_card
synth_SFA PR 4_1.jpg,0,0,610,882,pr_card
synth_SFA PR 4_2.jpg,0,0,610,882,pr_card
synth_SFA PR 4_3.jpg,0,0,610,882,pr_card
synth_SFA PR 4_4.jpg,0,0,610,882,pr_card
synth_SFA PR 4_5.jpg,0,0,610,882,pr_card
synth_SFA PR 4_6.jpg,0,0,610,882,pr_card
synth_SFA PR 4_7.jpg,0,0,610,882,pr_card
synth_SFA PR 4_8.jpg,0,0,610,882,pr_card
synth_SFA PR 4_9.jpg,0,0,610,882,pr_card
synth_SFA PR 4_10.jpg,0,0,610,882,pr_card
synth_SFA PR 4_11.jpg,0,0,610,882,pr_card
synth_SFA PR 4_12.jpg,0,0,610,882,pr_card
synth_SFA PR 4_13.jpg,0,0,610,882,pr_card
synth_SFA PR 4_14.jpg,0,0,610,882,pr_card
synth_SFA PR 4_15.jpg,0,0,610,882,pr_card
synth_SFA PR 4_16.jpg,0,0,610,882,pr_card
synth_SFA PR 4_17.jpg,0,0,610,882,pr_card
synth_SFA PR 4_18.jpg,0,0,610,882,pr_card
synth_SFA PR 4_19.jpg,0,0,610,882,pr_card
synth_SFA PR 5_0000_0.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_1.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_2.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_3.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_4.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_5.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_6.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_7.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_8.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_9.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_10.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_11.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_12.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_13.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_14.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_15.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_16.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_17.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_18.jpg,0,0,717,940,pr_card
synth_SFA PR 5_0000_19.jpg,0,0,717,940,pr_card
synth_SFA PR 5_00001_0.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_1.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_2.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_3.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_4.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_5.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_6.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_7.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_8.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_9.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_10.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_11.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_12.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_13.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_14.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_15.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_16.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_17.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_18.jpg,0,0,717,472,pr_card
synth_SFA PR 5_00001_19.jpg,0,0,717,472,pr_card
